episode,score,loss,ep_length,action_0,action_1,action_2,action_3,action_4,shark_dist_avg
1,262.0705,20.295273,1834,379,342,369,385,359,395.1
2,38.7145,2.03199,1444,292,282,288,298,284,554.66
3,-112.5911,1.889357,1503,294,299,297,311,302,405.16
4,-69.5843,1.29829,1747,362,356,345,349,335,328.54
5,328.1776,1.479552,1919,351,418,382,382,386,365.9
6,-79.9077,1.633617,440,80,79,96,93,92,580.05
7,81.1371,1.150255,616,115,126,135,126,114,584.59
8,-240.3768,1.408111,551,116,103,111,113,108,485.61
9,-110.2326,1.655998,355,68,87,74,68,58,481.92
10,138.3384,2.494582,1111,239,225,214,216,217,487.82
11,103.4894,2.418067,546,118,97,121,99,111,625.6
12,-67.0099,1.394458,780,166,159,160,143,152,248.55
13,363.9683,1.895005,2519,555,489,517,485,473,372.7
14,3.0409,2.139986,515,95,97,104,106,113,442.21
15,341.2356,1.719317,2586,513,523,509,544,497,340.27
16,568.5459,1.514313,3359,668,629,675,684,703,329.7
17,8.2076,1.681699,1943,389,359,405,401,389,312.88
18,97.7778,1.463056,1279,252,265,261,231,270,464.76
19,138.6701,2.008153,1532,286,325,337,285,299,536.54
20,98.3173,1.13991,1238,246,252,255,239,246,366.33
21,-210.7446,1.354095,1684,356,349,341,311,327,319.8
22,-89.8799,1.524594,921,190,169,196,189,177,232.87
23,85.2999,1.180212,720,120,130,154,161,155,539.89
24,-14.9438,1.40397,881,168,179,176,172,186,131.8
25,31.3146,1.728377,486,88,93,113,94,98,404.91
26,-101.8457,1.597618,1126,219,227,216,228,236,260.53
27,-53.1419,0.811276,208,45,34,44,44,41,693.85
28,-67.7308,1.630112,169,27,35,38,32,37,317.57
29,163.466,1.63428,1480,316,301,306,288,269,488.25
30,21.5933,1.664311,1163,226,241,239,213,244,439.01
31,314.8376,1.33298,3190,640,609,673,640,628,292.06
32,205.2804,0.946177,1638,323,343,352,286,334,437.65
33,201.6471,1.373296,1023,186,203,238,166,230,524.93
34,404.3714,1.123102,2709,506,534,581,533,555,343.38
35,149.5802,0.906419,1212,241,225,261,241,244,310.11
36,180.2719,0.889387,2067,389,398,446,451,383,455.22
37,361.0598,1.299565,2832,574,537,609,529,583,448.88
38,508.1984,1.210706,3850,780,737,820,758,755,286.42
39,-124.3626,1.544511,552,116,108,105,115,108,449.56
40,-35.9576,1.16296,1173,219,244,244,232,234,403.95
41,419.8223,1.442194,3318,634,673,753,640,618,317.64
42,215.4147,1.272879,1576,298,314,357,299,308,363.9
43,511.9809,1.320241,4352,828,898,923,882,821,381.69
44,487.1646,1.203569,2816,574,571,598,508,565,381.65
45,-29.1639,1.146097,503,83,118,111,95,96,286.97
46,132.2256,1.025734,1278,251,234,282,243,268,356.78
47,68.0693,1.266976,1171,240,230,276,213,212,445.51
48,468.1647,1.440628,3914,770,798,850,740,756,336.9
49,-42.1658,4.116502,47,14,10,7,5,11,135.5
50,153.2747,2.038242,1629,320,342,385,296,286,261.7
51,-54.606,1.351597,946,185,177,225,164,195,242.81
52,704.7631,1.513571,3815,756,728,844,713,774,315.0
53,125.1319,1.506639,2908,602,578,630,559,539,411.89
54,132.496,1.366469,1431,262,273,315,294,287,333.46
55,-59.5453,0.65919,265,55,58,42,57,53,367.17
56,80.0181,1.387752,1622,318,303,384,308,309,359.1
57,165.4587,1.656797,1905,415,388,431,342,329,399.06
58,105.4545,1.789768,1329,242,267,313,250,257,267.9
59,14.1123,1.490046,788,159,161,152,152,164,338.54
60,218.406,1.471687,2882,555,594,623,552,558,363.0
61,841.4761,1.377818,5789,1157,1123,1240,1145,1124,278.62
62,315.53,1.355166,2417,475,481,534,461,466,298.46
63,88.6657,1.173247,1325,249,253,317,229,277,309.43
64,43.4862,1.769483,558,109,130,119,90,110,486.21
65,-36.1405,0.692726,30,5,7,7,5,6,607.2
66,268.4053,1.512786,2438,488,500,503,492,455,332.43
67,305.0076,1.579007,3231,622,707,619,625,658,373.72
68,-74.2931,1.517105,465,97,94,89,96,89,331.76
69,-18.9531,1.292404,980,192,200,218,192,178,654.01
70,-166.1948,0.934275,1198,213,241,236,231,277,472.88
71,184.8362,1.330384,3446,687,636,766,673,684,449.54
72,96.3383,1.275932,1616,333,323,374,317,269,337.16
73,191.1003,1.545541,2189,407,465,464,444,409,366.54
74,208.5189,1.624237,1410,289,255,306,268,292,444.52
75,210.1444,1.508378,3084,623,583,698,584,596,466.98
76,267.6084,1.41772,2464,483,492,540,423,526,314.06
77,300.9397,1.177183,2168,408,441,506,375,438,337.41
78,-138.4573,1.537054,1085,216,180,238,242,209,443.9
79,222.771,1.542344,1955,409,358,452,337,399,482.58
80,174.3863,1.394231,640,132,116,153,111,128,459.91
81,2.3088,1.12014,1411,274,292,312,262,271,280.48
82,26.2897,1.327207,947,183,170,247,166,181,198.81
83,293.6162,1.40825,2328,457,466,521,415,469,361.98
84,138.8514,1.15306,2753,564,534,643,527,485,414.61
85,-177.1019,1.172821,2416,479,464,596,435,442,470.6
86,14.5829,1.398526,1709,330,318,428,324,309,396.43
87,313.9749,1.666518,4328,840,898,936,811,843,411.52
88,-32.1217,1.025872,452,86,80,104,101,81,211.64
89,609.4525,1.709944,3711,729,664,902,680,736,348.2
90,-86.1769,1.388781,1312,251,261,280,267,253,327.97
91,476.8805,1.61386,4247,788,851,893,870,845,299.53
92,93.9421,1.700186,908,172,199,208,168,161,378.92
93,-161.4135,1.603178,1777,372,350,422,308,325,395.03
