episode,score,loss,ep_length,action_0,action_1,action_2,action_3,action_4,shark_dist_avg
1,-18.7645,79.286381,256,67,47,49,53,40,112.84
2,130.5344,9.301447,508,119,101,102,78,108,473.02
3,-44.0374,9.948818,87,17,11,18,25,16,298.3
4,201.6929,4.017635,1649,344,303,315,335,352,326.18
5,-55.5406,4.265232,87,19,14,17,20,17,241.93
6,105.2849,4.500808,580,109,128,114,108,121,319.58
7,-21.9003,3.497178,19,4,4,2,7,2,359.63
8,136.6301,4.062539,539,92,116,126,95,110,233.74
9,168.4042,2.054204,1333,265,280,264,264,260,373.35
10,157.0612,1.802284,1133,241,234,209,223,226,361.31
11,174.4574,1.899298,1097,227,206,206,221,237,272.93
12,55.9874,1.839074,566,114,126,119,101,106,167.38
13,-32.244,1.106018,18,6,2,5,3,2,526.68
14,-68.5119,1.949106,123,30,25,18,26,24,622.8
15,212.398,1.445899,990,181,206,182,203,218,208.31
16,148.7548,1.654174,1373,255,271,295,291,261,268.47
17,-3.4691,0.980038,223,32,51,46,52,42,309.74
18,561.992,1.288814,3251,616,683,641,669,642,238.0
19,-66.683,0.945076,235,64,31,45,42,53,120.48
20,44.7073,1.281602,1784,341,369,362,334,378,460.22
21,62.156,1.172704,549,114,126,91,110,108,547.2
22,101.9733,1.195677,687,138,121,153,143,132,273.38
23,42.0543,0.948681,779,160,164,154,135,166,168.15
24,-272.5809,1.11833,1251,264,271,238,240,238,379.0
25,286.0438,1.101501,2691,528,547,535,568,513,239.94
26,34.0393,1.474966,734,145,164,159,141,125,400.77
27,-210.4726,1.311208,835,175,166,177,163,154,139.5
28,-10.0,0.364741,1,0,0,0,0,1,25.0
29,-12.5378,1.325104,855,174,154,182,176,169,212.84
30,-10.6604,1.35078,6,2,1,1,0,2,51.84
31,140.3155,1.266376,1225,223,256,236,245,265,318.26
32,-28.7188,0.884656,986,184,197,206,203,196,440.7
33,-31.3068,1.283507,159,38,31,28,24,38,128.71
34,170.7836,0.811302,1109,244,205,237,203,220,421.64
35,169.8339,1.22489,763,156,151,157,147,152,271.36
36,49.2594,0.963381,637,122,133,125,126,131,212.49
37,396.7356,1.166823,2640,538,498,531,543,530,265.18
38,0.569,1.167634,198,45,35,40,35,43,463.35
39,7.7836,1.019051,1007,204,185,214,224,180,335.53
40,77.745,1.21474,979,207,222,182,174,194,311.67
41,259.7736,1.507643,2331,493,438,480,455,465,186.82
42,-150.7601,1.213307,599,130,120,109,131,109,376.84
43,185.0828,1.075137,1726,323,367,353,358,325,348.59
44,29.1721,0.91033,535,98,116,104,104,113,338.79
45,64.3212,0.798576,542,93,114,108,122,105,475.13
46,-51.8092,1.157454,95,13,18,19,16,29,491.88
47,134.4741,1.268133,1046,190,209,201,247,199,157.24
48,504.3287,1.077084,3284,672,611,691,624,686,235.48
49,73.2233,2.137628,583,113,136,97,120,117,336.78
50,-11.7466,1.248525,215,37,34,51,53,40,448.62
51,-44.3243,1.64651,566,121,108,107,122,108,153.09
52,37.5113,1.216845,978,176,188,192,203,219,189.87
53,203.2758,1.176841,1083,229,195,205,211,243,341.78
54,63.3475,1.386429,428,90,85,82,95,76,550.22
55,-37.0215,1.706966,272,57,65,41,60,49,115.94
56,-39.4843,1.082533,140,37,26,28,25,24,318.13
57,27.5329,0.711271,697,143,121,172,130,131,482.94
58,-15.9344,1.264322,30,4,7,5,7,7,59.12
59,-326.241,1.416086,1840,385,349,382,360,364,538.01
60,87.8043,1.224421,1427,309,279,291,262,286,308.06
61,-36.8782,2.010744,47,9,6,9,10,13,832.26
62,-46.2292,1.26605,588,110,139,115,115,109,311.11
63,-40.7202,1.956925,463,87,96,94,86,100,210.22
64,85.0331,1.642384,697,121,118,134,158,166,261.36
65,10.4035,2.547116,291,48,49,54,76,64,362.29
66,-33.5359,1.324073,161,26,30,39,28,38,475.69
67,164.0938,1.361355,1668,340,335,374,305,314,512.75
68,6.8712,1.262479,634,121,140,139,119,115,232.75
69,47.4773,0.79716,367,62,74,61,71,99,286.78
70,-0.5689,1.136878,852,193,160,179,156,164,278.3
71,55.443,1.139649,952,206,196,175,186,189,209.6
72,-66.2578,0.827974,470,80,102,104,93,91,547.67
73,-45.0524,0.910951,75,12,20,7,24,12,496.88
74,-136.3293,1.068022,213,33,45,52,45,38,448.59
75,-19.1423,0.805544,12,1,3,0,3,5,320.69
76,-9.753,7.208098,144,22,20,31,34,37,314.99
77,-6.9561,1.010401,388,88,72,88,76,64,397.6
78,-60.6952,1.250414,46,6,10,11,7,12,301.99
79,108.9622,1.601057,489,94,93,109,92,101,308.74
80,283.8572,1.448432,1143,220,238,231,230,224,252.61
81,521.9941,2.383671,3265,627,637,667,670,664,290.57
82,162.7241,1.389459,1032,229,201,171,233,198,154.38
83,15.7421,5.115822,398,81,83,86,83,65,451.16
84,202.5964,1.446581,1681,331,345,364,305,336,333.68
85,-51.6351,1.416383,34,6,3,8,10,7,597.35
86,97.769,1.796885,536,106,108,95,118,109,607.34
87,56.6332,1.248264,980,213,192,182,193,200,346.72
88,75.9867,1.399764,1346,281,282,254,252,277,202.01
89,14.5301,1.310345,941,164,219,168,201,189,180.11
90,213.2026,1.104852,2715,553,530,547,609,476,316.82
91,43.3804,1.335571,665,121,149,157,128,110,293.75
92,-239.4362,1.366905,1059,259,229,187,217,167,285.6
93,131.1196,1.83922,1576,338,297,278,344,319,235.55
94,0.7864,0.732418,241,49,38,52,30,72,287.13
95,391.831,1.498428,2822,542,578,490,662,550,246.68
96,-49.8709,1.274174,32,11,5,5,3,8,330.57
97,428.7628,1.480601,2920,556,629,655,543,537,250.33
98,337.849,1.185276,2061,389,354,546,358,414,319.87
99,244.6218,1.358924,3621,723,743,650,823,682,231.0
100,187.8293,1.112602,1496,294,254,396,290,262,406.9
101,265.976,0.90509,2569,465,513,627,466,498,427.42
102,49.5097,1.896842,1377,285,279,294,271,248,206.65
103,24.7167,1.532334,396,68,91,74,83,80,247.31
104,45.3921,1.361243,1837,342,361,330,464,340,275.0
105,135.8847,0.768273,1368,266,258,373,227,244,680.99
106,93.3556,1.674479,1537,298,310,409,266,254,272.68
107,-10.0,2.426438,1,0,0,0,1,0,35.78
108,-208.7984,1.629958,2295,480,467,386,539,423,274.07
109,-77.2508,1.629701,521,116,109,106,97,93,150.2
110,648.6279,2.019398,4365,827,862,927,908,841,243.57
111,-245.2903,1.854622,740,152,140,123,180,145,217.86
112,-29.3389,1.66079,360,56,71,107,62,64,553.21
113,176.3322,1.29364,2219,460,410,554,418,377,473.14
114,127.9803,1.7296,1521,271,302,283,399,266,264.98
115,-21.8117,2.211656,12,3,2,0,4,3,465.35
116,16.3929,1.772308,353,65,68,49,105,66,221.45
117,-34.9778,1.206977,641,135,123,158,111,114,317.21
118,-173.9802,1.407389,1516,314,336,278,311,277,298.18
119,-28.1284,3.05558,13,1,2,2,4,4,561.91
120,36.3589,1.862664,465,97,78,94,122,74,251.22
121,-68.3436,2.160959,717,137,133,149,130,168,409.6
122,25.227,2.577342,2174,429,409,507,450,379,383.43
123,10.2237,1.795682,1609,298,311,379,283,338,312.73
124,47.0413,1.358612,1007,209,202,177,233,186,345.22
125,3.7921,2.46666,734,131,137,192,126,148,234.5
126,1.2251,2.046071,237,44,48,32,54,59,240.5
127,-14.8221,1.813888,153,29,23,28,43,30,447.99
128,431.984,1.548032,4040,769,796,842,910,723,223.98
129,22.6373,1.388772,1128,228,211,275,207,207,590.04
130,140.2847,1.560536,521,103,84,111,86,137,322.75
131,85.0799,2.706391,775,185,136,130,176,148,169.94
132,-129.6486,1.586365,174,49,29,38,33,25,372.4
133,204.5319,1.979989,1400,276,278,370,230,246,518.6
134,-122.8827,1.642723,1071,224,203,191,239,214,371.07
135,-53.3125,3.498231,752,166,137,195,140,114,414.57
136,-3.9623,1.845765,189,47,33,32,47,30,156.1
137,-96.6255,1.618471,84,15,24,14,13,18,770.66
138,198.9127,1.652989,2705,521,540,632,555,457,402.02
139,220.5716,1.683753,1309,256,237,290,260,266,329.15
140,50.2596,1.485521,1112,204,230,196,299,183,291.95
141,-187.1647,2.191515,888,201,182,174,169,162,309.64
142,133.1595,1.401428,970,192,199,152,281,146,324.91
143,43.7527,1.918602,659,141,153,152,87,126,207.9
144,130.6001,2.261228,887,173,181,200,145,188,414.13
145,132.358,1.048327,2175,457,398,450,464,406,255.63
146,-227.8456,2.357948,744,166,162,124,160,132,134.45
147,-74.7285,2.037875,99,21,18,31,16,13,358.39
148,281.8201,1.404453,1856,337,354,290,561,314,275.43
149,77.8372,1.825255,994,157,215,177,257,188,305.65
150,8.2139,1.908834,1197,231,233,199,317,217,238.85
151,178.8548,2.347257,849,147,144,157,272,129,373.17
152,35.2691,2.204305,262,52,48,66,44,52,208.02
153,90.6003,1.546281,1233,223,226,190,378,216,321.7
154,-121.1989,2.478743,1286,255,272,227,300,232,381.84
155,66.499,2.744187,604,121,129,134,111,109,636.87
156,191.1242,3.363671,1472,244,266,244,451,267,436.11
157,-21.2297,1.968891,557,107,116,124,101,109,198.36
158,-42.5225,2.073422,118,25,17,25,31,20,104.31
159,-7.1249,2.53697,608,141,115,120,121,111,397.05
160,303.5196,2.342497,2612,495,557,501,602,457,286.27
161,-53.1099,3.382211,688,158,128,109,166,127,192.96
162,-24.8467,1.762004,324,54,67,59,82,62,122.85
163,-42.3972,1.172616,138,30,25,29,23,31,505.7
164,15.1075,1.278433,736,156,153,153,138,136,475.92
165,-253.2517,1.339542,266,96,46,46,44,34,93.08
166,84.0926,2.613742,820,150,178,217,133,142,588.96
167,-81.0746,1.127071,189,52,43,33,24,37,462.86
168,-19.7578,1.951368,46,9,9,10,10,8,62.19
169,0.1978,1.195867,233,41,44,66,38,44,618.64
170,86.673,1.963829,1387,263,271,363,253,237,438.82
171,114.2653,1.573689,988,185,208,287,151,157,375.6
172,247.9222,1.806474,1952,375,349,490,344,394,176.81
173,112.7322,1.616516,476,82,89,86,80,139,351.72
174,-115.8178,2.276406,1624,313,298,450,275,288,323.84
175,-176.8533,2.235348,1354,299,246,306,203,300,282.54
176,-369.4525,2.639387,883,148,176,151,253,155,85.22
177,369.7759,1.179223,2006,358,339,374,575,360,230.54
178,95.602,1.932121,494,85,98,119,93,99,294.78
179,-10.0,1.822802,1,0,1,0,0,0,22.09
180,-95.8397,2.835127,174,35,35,44,32,28,379.17
181,457.518,2.245102,3492,753,645,604,780,710,312.08
182,-28.5204,1.572155,306,61,38,103,56,48,566.97
183,-61.7654,1.497781,215,39,51,36,44,45,194.17
184,24.4562,2.024471,621,102,132,163,109,115,374.13
185,-105.5997,1.766632,329,65,84,80,53,47,143.9
186,94.967,1.676867,421,88,74,106,54,99,531.42
187,-76.8173,3.116973,1465,266,311,234,400,254,161.93
188,209.0388,1.802781,2370,466,483,621,378,422,272.02
189,-34.6746,1.954231,747,141,161,104,166,175,347.46
190,-99.2978,1.948058,107,19,21,15,24,28,588.95
191,231.0922,2.412022,2923,562,608,482,802,469,334.54
192,126.1876,2.320097,1378,260,269,272,332,245,466.06
193,302.0802,1.962764,2119,394,390,620,346,369,174.02
194,381.5186,1.607802,3825,710,728,641,1077,669,247.56
195,-2.6756,1.420703,200,35,41,31,48,45,485.03
196,147.9359,2.648864,1590,314,311,282,409,274,587.41
197,-124.4619,1.780204,733,160,184,130,129,130,217.54
198,-31.6386,1.963092,47,9,6,5,19,8,72.55
199,-241.6191,1.886318,980,188,188,257,163,184,421.04
200,1062.2873,2.084648,6335,1201,1158,1190,1724,1062,307.22
201,50.3228,1.349126,659,104,120,119,184,132,177.73
202,-107.795,2.499706,2087,425,385,509,371,397,353.75
203,61.8927,1.936143,2660,505,540,697,429,489,500.28
204,-48.2804,2.58112,88,21,17,16,14,20,621.5
205,-78.2821,1.078206,208,46,30,68,29,35,181.39
206,160.5016,2.016847,2803,535,533,521,663,551,318.16
207,75.0311,1.063428,809,152,166,212,121,158,252.6
208,5.0447,1.194836,194,32,34,76,29,23,688.0
209,389.0185,1.437875,3364,657,649,591,790,677,308.81
210,-6.6193,1.522026,500,86,101,79,137,97,345.37
211,-34.8433,1.403795,86,12,24,16,20,14,76.85
212,388.3055,1.416346,2925,548,534,532,783,528,343.37
213,21.9048,2.220768,1302,259,231,291,256,265,443.4
214,62.6028,1.993181,827,166,142,134,180,205,332.93
215,-176.4032,2.809617,1215,257,237,312,210,199,699.99
216,-54.5734,1.801549,223,33,37,35,73,45,112.07
217,814.1663,1.779335,5319,1009,994,895,1544,877,242.22
218,-36.7041,2.09111,293,53,46,57,95,42,95.32
219,372.3245,2.093927,3149,577,571,539,937,525,320.5
220,14.6835,1.541746,614,139,117,119,100,139,270.39
221,778.6324,0.905976,5089,1035,968,1105,1061,920,247.77
222,209.485,1.409426,1973,386,352,571,330,334,504.01
223,1599.3297,0.864488,12266,2423,2312,2634,2664,2233,290.85
224,-41.4149,1.951193,169,29,45,31,44,20,68.5
225,624.0897,0.970653,3711,637,687,707,979,701,249.98
226,-195.0382,1.488675,196,38,34,41,57,26,718.13
227,236.6693,1.293702,1638,374,236,398,301,329,192.44
228,122.7602,1.440945,706,140,111,175,137,143,446.46
229,-119.7003,0.92291,6712,1427,1193,1447,1329,1316,248.35
230,271.9227,1.359985,2096,406,381,338,583,388,429.9
231,-350.859,1.723605,1625,295,308,408,299,315,537.39
232,-18.8555,1.40942,9,2,1,3,1,2,621.61
233,-63.9077,0.688207,353,83,54,97,68,51,600.89
234,131.3403,1.156645,2404,506,450,411,577,460,458.46
235,153.6251,59.474663,651,122,126,138,116,149,452.25
236,-6.4855,1.456338,1874,374,424,373,362,341,132.87
237,-36.5606,1.194873,26,6,4,5,4,7,373.66
238,26.1336,1.39987,1840,423,327,462,279,349,442.89
239,-10.0,1.201804,1,1,0,0,0,0,45.4
240,64.6431,1.310203,782,160,134,133,233,122,621.83
