episode,score,loss,ep_length,action_0,action_1,action_2,action_3,action_4,shark_dist_avg
1,8.9595,679.16533,242,49,50,47,45,51,495.95
2,175.9577,8.628027,2266,447,464,445,479,431,267.73
3,40.8584,3.27565,679,125,114,138,139,163,487.51
4,217.1386,3.840793,1272,261,277,240,258,236,218.53
5,-31.1522,2.818147,939,182,196,166,193,202,177.88
6,75.1176,4.078281,832,167,151,157,172,185,251.29
7,497.7186,2.655028,2921,553,619,595,571,583,212.17
8,4.0998,2.642577,600,134,113,109,133,111,443.14
9,559.0645,2.3324,3863,750,792,824,721,776,254.62
10,6.0606,2.080294,1231,233,248,251,250,249,224.82
11,132.7121,2.261046,1054,198,217,205,216,218,193.28
12,-157.8243,2.531588,910,186,178,188,167,191,401.68
13,-162.9988,2.461398,986,191,183,225,187,200,684.67
14,-22.59,1.842245,189,37,39,34,35,44,353.54
15,-7.9295,2.474002,478,97,99,112,81,89,455.04
16,11.9655,1.833225,706,123,132,165,149,137,201.84
17,141.3089,2.111023,961,196,185,203,188,189,298.43
18,187.8791,2.046214,1061,205,196,226,220,214,290.03
19,379.0009,2.308568,3096,649,593,651,593,610,236.54
20,192.4642,2.497268,1573,282,314,325,334,318,399.56
21,-47.2818,2.292795,1327,270,267,275,260,255,126.92
22,186.961,2.521041,2130,415,439,409,441,426,245.34
23,198.6986,2.453308,2719,499,525,559,591,545,407.79
24,458.1505,2.501124,2331,478,437,444,468,504,292.28
25,214.6371,2.191136,987,215,194,191,169,218,398.52
26,93.4133,2.326416,714,131,131,128,167,157,327.55
27,97.5894,2.612906,2468,476,503,518,473,498,330.72
28,221.9386,2.382124,1600,314,323,328,326,309,468.22
29,-35.7778,2.267576,858,177,164,173,166,178,423.72
30,243.4454,2.498992,1833,355,384,344,355,395,381.02
31,-26.2826,1.967353,230,43,48,54,49,36,677.1
32,12.2608,2.099122,634,132,119,140,128,115,359.52
33,40.0931,2.289497,1578,348,312,304,303,311,224.1
34,-53.9085,2.299564,532,102,114,112,98,106,365.74
35,-101.5073,2.859329,169,33,30,31,44,31,466.46
36,9.7714,2.578508,620,130,127,126,117,120,249.93
37,344.7453,2.305806,1953,382,413,399,374,385,285.05
38,-60.767,2.385586,3936,794,826,835,747,734,355.49
39,49.1209,2.326762,1327,280,262,276,261,248,303.35
40,5.7465,2.310883,1035,212,218,200,197,208,309.37
41,338.6782,2.419616,2471,512,541,486,457,475,374.63
42,191.0864,2.242851,2185,454,440,451,427,413,222.13
43,-3.4444,2.432388,691,138,153,115,148,137,346.48
44,939.7479,2.669398,7356,1544,1545,1381,1398,1488,284.23
45,-15.2883,2.545595,210,48,47,33,34,48,650.61
46,195.3397,2.559287,1688,317,404,338,302,327,226.56
47,47.947,2.432669,1096,189,229,209,246,223,297.21
48,857.2412,2.697404,6428,1327,1338,1290,1243,1230,273.28
49,-85.7643,3.097931,1163,227,230,255,260,191,325.46
