episode,score,loss,ep_length,action_0,action_1,action_2,action_3,action_4,shark_dist_avg
1,-108.4354,670.864763,436,81,76,96,90,93,614.43
2,178.9901,6.452455,2691,546,508,593,516,528,460.01
3,346.1551,3.248163,3124,631,634,616,632,611,302.01
4,560.0271,2.994396,6707,1313,1411,1318,1330,1335,393.47
5,272.9756,2.308309,2730,523,549,555,531,572,310.84
6,359.5145,2.127482,2847,566,557,550,576,598,285.51
7,254.9306,1.530592,3308,654,646,640,690,678,351.71
8,169.0563,1.447228,2621,517,545,500,524,535,364.26
9,329.361,1.462574,3357,658,695,722,638,644,340.39
10,78.7514,1.393569,1767,333,344,356,377,357,374.37
11,212.8697,1.582473,3756,778,730,755,792,701,295.71
12,120.4636,1.346162,1907,383,406,372,373,373,416.68
13,261.7199,1.502264,4622,918,897,953,953,901,284.76
14,660.4716,1.50582,4147,863,859,771,855,799,304.83
15,-208.0125,1.465992,1199,228,258,227,232,254,233.97
16,567.339,1.531681,4534,915,848,940,910,921,289.05
17,-29.039,1.321447,1619,290,351,340,303,335,480.36
18,39.7258,1.356177,1954,414,363,416,392,369,461.6
19,-144.1023,1.307023,2175,422,441,418,445,449,250.39
20,107.9502,1.040036,1359,272,258,285,274,270,323.03
21,234.932,1.496599,3142,605,667,642,616,612,348.96
22,385.588,1.272574,3548,694,709,730,710,705,243.41
23,191.7624,1.465535,2017,383,396,399,415,424,391.21
24,-98.6036,1.677138,3163,593,632,641,637,660,325.59
25,284.4444,1.54196,3283,643,649,693,656,642,336.01
26,-20.1363,2.301137,540,97,110,107,109,117,456.37
27,165.4143,1.36744,1445,267,271,293,299,315,536.0
28,57.2423,1.683511,1453,264,282,302,305,300,441.64
29,-58.5292,1.933605,281,53,71,44,48,65,373.51
30,356.6092,1.653073,2505,543,495,501,487,479,354.81
31,33.1607,1.739715,1875,386,344,393,395,357,411.27
32,292.0276,1.527953,1624,322,345,291,350,316,396.07
33,694.9214,1.400598,5783,1145,1110,1213,1149,1166,265.55
34,229.6091,1.341578,2169,427,426,426,446,444,258.1
35,281.0203,1.346409,2107,407,409,430,400,461,371.19
36,400.8884,1.628729,4695,929,956,962,927,921,370.94
37,127.1984,1.606221,4036,820,824,816,804,772,245.45
38,47.1772,1.6136,2193,430,425,453,425,460,352.65
39,-2.7945,1.52052,4789,1018,982,888,962,939,284.8
40,132.8067,1.711728,2344,436,460,498,475,475,396.52
41,178.1953,2.067771,1747,331,340,360,351,365,385.62
42,-269.7494,1.459331,1715,334,347,336,355,343,392.61
43,41.4792,1.317673,919,180,180,185,174,200,290.32
44,108.0185,1.74144,3567,679,720,682,741,745,344.25
45,315.4393,1.696745,2787,531,568,615,520,553,511.36
46,-248.1885,2.14223,2146,436,414,431,444,421,195.48
47,426.9208,1.747573,4758,957,933,966,972,930,377.64
48,393.3616,1.690755,2805,578,531,547,551,598,469.4
49,-22.0347,1.976287,2488,476,486,479,566,481,412.23
50,155.6692,1.887395,2824,548,564,603,588,521,387.15
51,312.1958,1.904179,3399,693,689,716,656,645,355.31
52,29.6439,1.768208,2527,480,467,557,513,510,342.33
53,-135.349,2.044097,3301,690,670,664,649,628,382.12
54,156.9424,2.099302,2458,482,499,469,543,465,309.66
55,392.8528,1.740354,4126,805,854,823,781,863,299.04
56,4.7957,2.579367,903,183,171,189,161,199,476.77
57,701.2147,1.571214,3965,809,806,747,811,792,285.21
58,265.4051,2.111138,4087,835,787,785,880,800,295.5
59,-51.3245,1.986001,2991,601,571,630,582,607,352.71
60,413.8502,2.001671,4610,881,914,978,905,932,266.74
61,-191.462,2.172817,1915,375,381,400,412,347,276.02
62,31.0902,2.167605,2200,450,401,425,502,422,318.47
63,186.749,2.048963,2008,380,417,414,403,394,266.45
64,-134.0286,1.865429,1004,212,201,209,197,185,471.39
65,52.3652,1.905656,1949,386,379,397,384,403,372.44
66,167.2883,2.196863,3761,756,740,799,734,732,468.14
67,-11.5232,2.031119,4177,856,854,818,868,781,361.87
68,111.099,1.879809,2885,642,585,553,577,528,260.14
69,400.9178,2.203298,4270,854,834,902,867,813,367.02
70,126.1325,2.201863,1981,391,378,429,391,392,368.25
71,163.704,2.325129,3013,627,569,587,638,592,468.35
72,58.0438,2.698506,2679,512,551,555,504,557,430.84
73,228.8012,2.428435,3078,631,540,705,606,596,389.23
74,192.7613,2.354955,3310,696,666,613,748,587,363.23
75,-75.4928,2.270876,3241,646,666,656,613,660,312.65
76,-100.0557,2.114498,2221,406,458,386,562,409,190.35
77,199.8291,2.182642,1772,366,316,361,379,350,447.61
78,-7.8559,2.676769,1691,347,351,366,319,308,565.74
79,223.4424,2.564117,4520,927,892,890,1004,807,421.82
80,423.9029,2.287433,3966,753,849,718,856,790,417.95
