episode,score,loss,ep_length,action_0,action_1,action_2,action_3,action_4,shark_dist_avg
1,-108.6995,252.293936,436,81,76,96,90,93,614.43
2,305.1315,9.852583,3179,643,616,646,633,641,488.71
3,-27.3934,6.268208,3203,649,656,622,646,630,201.9
4,-126.8257,4.845984,1943,393,375,371,405,399,303.93
5,485.8098,4.308635,4646,894,914,946,891,1001,363.53
6,-98.5027,3.400512,848,174,152,173,184,165,224.37
7,341.442,3.403501,3067,610,601,610,593,653,328.63
8,24.4793,2.713775,2148,441,402,454,429,422,394.82
9,226.979,3.052341,2979,635,581,600,585,578,439.61
10,502.6546,3.162585,3383,640,680,685,677,701,323.28
11,59.0117,2.639282,1343,259,278,285,238,283,249.92
12,552.2435,2.961987,3151,617,634,648,623,629,410.83
13,130.7099,2.812133,1646,329,320,316,354,327,364.79
14,388.5318,2.596745,2698,545,540,525,528,560,343.07
15,-110.2758,2.601639,1093,223,196,221,211,242,268.55
16,341.6003,2.554968,2907,556,567,616,576,592,253.09
17,148.7401,2.547985,2238,433,454,455,436,460,327.63
18,425.6623,2.707276,3723,781,774,697,727,744,399.27
19,118.2357,2.690774,2259,444,449,456,462,448,370.59
20,326.1408,2.580605,2486,493,478,491,511,513,250.83
21,288.5509,3.087846,4465,920,880,926,864,875,366.28
22,252.7456,3.240757,3324,648,656,700,644,676,371.96
23,543.6611,3.274787,6144,1246,1254,1216,1213,1215,317.74
24,877.6088,3.267515,5391,1103,1094,1163,1028,1003,335.86
25,95.3482,3.056873,3234,649,648,629,669,639,417.42
26,524.866,2.908383,5108,1068,1051,1026,1014,949,306.02
27,266.0285,2.913384,2396,439,498,452,502,505,384.49
28,522.6563,3.023682,4705,969,983,954,914,885,399.66
29,252.8561,2.867603,4008,772,823,802,824,787,283.63
30,185.8478,3.049629,2040,399,397,412,408,424,413.77
31,242.6375,2.941346,4170,834,827,828,846,835,294.26
32,-23.667,2.94724,1564,300,329,282,334,319,480.31
33,223.595,3.020276,4009,875,753,816,773,792,362.06
34,102.3151,2.76427,1828,350,398,384,360,336,369.05
35,293.5429,3.098556,2301,481,471,446,462,441,412.49
36,292.6552,2.74466,4905,988,974,983,993,967,328.61
37,233.1671,2.525411,1951,374,373,395,405,404,266.3
38,102.6099,2.798378,2351,461,491,477,456,466,465.07
39,397.9285,2.869295,3379,679,679,646,673,702,261.28
40,741.1633,2.725825,5409,1108,1057,1071,1070,1103,371.58
41,30.2153,2.698639,1950,372,397,393,381,407,436.6
42,608.7944,2.699613,5125,1036,980,1033,1107,969,328.69
43,119.4836,2.554108,903,178,165,185,172,203,461.58
44,112.6755,2.731609,3525,715,684,715,731,680,256.75
45,413.9146,2.622689,3812,790,730,755,803,734,387.86
46,-111.892,2.905788,2009,402,415,409,403,380,388.72
47,749.6804,2.80062,7564,1513,1514,1532,1526,1479,406.6
48,99.5518,2.946734,2897,610,596,563,585,543,505.84
49,420.9235,2.891425,4967,994,951,1053,975,994,304.54
50,119.4668,2.850915,1530,315,321,310,300,284,318.03
51,631.5134,2.758932,4977,976,976,1017,946,1062,298.21
52,140.9832,2.780788,2539,491,530,499,486,533,282.43
53,104.572,2.492875,2243,439,422,468,484,430,369.94
54,-193.8787,2.222254,359,92,70,67,65,65,572.72
55,321.6842,2.727761,2885,586,558,622,553,566,406.55
56,193.4609,2.827364,4740,917,917,977,1018,911,303.72
57,64.3599,2.768324,1811,363,363,399,362,324,475.44
58,177.9144,2.776361,1926,361,397,400,367,401,376.06
59,438.3702,3.137281,2719,544,561,502,564,548,482.17
60,186.1735,2.80336,3963,787,770,782,860,764,411.72
61,-220.9545,2.767226,2066,410,415,378,424,439,444.39
62,326.201,3.007001,3841,784,778,760,787,732,317.32
63,89.053,3.0821,2844,580,571,580,566,547,441.16
64,-80.5221,3.332228,2961,607,543,691,562,558,236.97
65,-60.6556,3.073372,1007,214,205,181,200,207,408.32
66,176.2328,3.072391,3840,745,790,725,833,747,344.97
67,194.6984,2.901882,2953,554,578,625,591,605,281.45
68,12.1812,3.085003,2574,568,489,488,526,503,226.04
69,4.9239,3.128001,2234,400,456,491,403,484,566.84
70,455.3543,3.08211,3735,748,765,764,728,730,420.78
71,58.4688,2.747052,2790,565,522,631,553,519,318.71
72,71.5078,3.039301,3770,714,774,752,796,734,324.57
73,193.6349,2.562922,5006,1019,958,1114,972,943,299.77
74,145.1037,2.840237,2404,475,482,533,467,447,311.37
75,310.2259,3.122899,5634,1177,1089,1205,1114,1049,392.42
76,562.1725,3.048196,4148,733,888,763,912,852,383.88
77,180.1251,2.746136,1500,268,300,301,311,320,487.84
78,360.8924,2.788479,5444,1060,1087,1048,1158,1091,286.86
