episode,score,loss,ep_length,action_0,action_1,action_2,action_3,action_4,shark_dist_avg
1,-32.1967,5645.724121,69,21,9,9,14,16,363.9
2,36.6956,288.598431,597,107,115,123,150,102,566.97
3,-22.5849,6.753796,254,63,49,45,52,45,132.97
4,0.1934,6.188803,259,50,57,54,50,48,685.68
5,-25.9837,7.494397,176,38,38,34,28,38,584.42
6,-106.1069,4.992943,885,172,181,169,168,195,280.7
7,267.9283,2.805645,1397,274,265,280,294,284,443.05
8,68.43,2.831363,1348,272,271,280,275,250,506.23
9,23.2134,2.218077,488,108,98,88,105,89,519.88
10,6.7012,2.246157,974,189,233,186,192,174,439.52
11,-7.7187,3.47501,104,19,15,17,29,24,501.67
12,-118.917,2.818483,333,56,72,64,76,65,86.67
13,28.626,2.263243,620,134,114,114,119,139,527.43
14,-28.0733,3.206336,224,45,47,48,36,48,656.63
15,39.1177,2.313427,984,193,170,233,190,198,316.1
16,70.6962,2.483744,352,63,72,84,65,68,534.33
17,219.4668,2.391009,897,189,184,178,172,174,493.67
18,-41.3152,1.867123,169,33,32,34,31,39,553.78
19,7.701,2.187975,820,164,174,171,169,142,279.18
20,-13.2733,2.62729,489,97,100,99,100,93,180.15
21,151.2748,2.036695,1176,232,235,254,226,229,494.56
22,33.4834,2.081355,458,79,85,100,102,92,606.83
23,-46.4802,1.072362,26,5,4,7,5,5,645.59
24,46.9545,1.255184,382,74,75,85,76,72,613.5
25,69.4378,1.950943,1076,252,193,216,216,199,531.94
26,-125.2803,1.138624,150,28,37,30,27,28,863.09
27,-37.4887,2.302385,21,5,6,4,3,3,501.48
28,-41.3398,3.700333,196,41,36,53,32,34,719.18
29,5.8085,1.420625,152,27,32,32,29,32,641.62
30,-39.2008,3.040792,224,51,37,55,39,42,603.93
31,173.9293,2.009075,750,154,144,167,148,137,579.98
32,22.5456,1.525712,618,121,119,132,139,107,435.76
33,50.6326,1.654409,660,119,129,147,133,132,560.12
34,630.2244,1.399233,3347,646,703,736,637,625,270.18
35,225.9414,1.540779,880,179,174,164,173,190,332.49
36,65.0381,1.498043,418,89,86,86,87,70,643.22
37,122.833,1.360662,1171,225,280,242,199,225,496.24
38,-17.8672,1.597074,283,58,71,54,48,52,517.58
39,-8.4571,1.47024,783,142,162,175,142,162,272.22
40,29.9366,2.371609,357,77,74,73,64,69,752.33
41,-89.0834,1.533228,319,65,74,68,58,54,741.64
42,30.3654,1.026017,245,43,42,54,43,63,543.51
43,1.6723,2.115349,1193,219,244,271,228,231,349.62
44,160.0177,1.810833,2222,436,468,437,462,419,205.08
45,22.4395,0.962255,270,54,49,63,43,61,665.23
46,136.1122,1.642746,504,94,98,113,92,107,437.24
47,104.5981,1.467997,1078,222,216,213,217,210,385.15
48,-39.238,2.867495,79,17,18,14,14,16,75.13
49,98.0998,1.537569,882,162,185,179,171,185,606.1
50,-88.2364,1.737869,344,73,71,89,56,55,401.75
51,-30.8006,0.965943,34,8,5,5,5,11,741.53
52,-81.5543,1.09791,930,180,167,187,185,211,443.41
53,-124.0139,1.014486,115,23,25,17,28,22,693.33
54,-26.69,4.162486,50,12,15,6,6,11,66.68
55,1.5273,0.808918,187,38,44,29,33,43,651.94
56,-22.8837,0.898166,208,40,34,48,41,45,133.92
57,170.1095,1.800383,2006,436,378,422,402,368,331.36
58,-17.128,1.288217,382,79,74,75,84,70,418.33
59,18.929,1.433553,534,105,99,127,90,113,291.81
60,-12.6746,1.021811,5,0,2,3,0,0,648.57
61,301.4041,1.463191,1189,231,232,278,218,230,412.43
62,-52.9742,1.41951,470,98,95,122,71,84,354.5
63,-10.0,2.197264,1,0,0,0,0,1,834.55
64,163.8992,1.214212,693,138,130,166,118,141,445.27
65,-8.5151,1.473931,323,66,62,59,63,73,554.06
66,306.4454,1.587916,3408,701,663,769,630,645,303.66
67,253.2927,1.437956,1825,372,338,427,331,357,330.33
68,186.1929,1.303842,1628,306,315,397,289,321,436.75
69,-67.7651,0.836853,190,46,39,34,47,24,442.63
70,-102.3474,0.776915,187,32,42,32,52,29,92.65
71,-29.3025,1.460516,72,14,15,10,12,21,94.65
72,377.9371,1.529475,2048,431,401,442,380,394,255.07
73,-88.7614,1.490869,217,50,43,48,39,37,829.18
74,-38.3812,1.186963,1283,253,248,300,234,248,357.2
75,75.1292,1.158746,594,136,97,144,104,113,551.95
76,-102.105,1.813192,117,18,35,19,22,23,766.88
77,-15.1251,1.37196,301,61,57,51,66,66,145.96
78,402.3219,1.973535,1984,418,397,414,353,402,332.21
79,61.0061,1.318633,249,39,42,66,45,57,526.18
80,192.0522,1.513368,1644,332,292,392,306,322,391.05
81,351.3799,1.501628,2739,585,506,624,497,527,296.38
82,94.6816,1.349884,3318,659,693,778,584,604,389.0
83,208.4516,1.562308,1180,222,238,263,211,246,358.84
84,207.7445,1.476476,863,164,184,185,156,174,337.63
85,352.5557,2.510487,2444,438,515,632,428,431,214.71
86,-48.9683,1.265999,79,22,19,13,10,15,629.39
87,652.7299,1.569812,4258,815,836,1070,781,756,299.9
88,6.3259,1.515107,1518,294,295,369,270,290,307.65
89,53.8355,1.383021,474,82,84,134,82,92,407.67
90,-33.4994,1.657258,22,3,4,4,6,5,687.9
91,277.6911,1.624367,2428,480,464,630,434,420,330.23
92,1507.822,0.714369,8000,1651,1670,1671,1503,1505,245.91
93,-10.0,1.101975,1,0,0,0,0,1,49.34
94,-14.727,2.201967,341,75,48,86,57,75,754.34
95,-58.8546,2.483318,260,59,58,49,53,41,629.28
96,165.6949,1.241511,935,188,178,166,233,170,415.69
97,23.8772,2.146289,322,62,72,76,53,59,776.04
98,135.4806,1.524903,1356,238,247,371,233,267,441.2
99,324.8987,1.752035,2374,433,508,560,427,446,454.74
100,4.9156,1.955121,360,74,84,87,62,53,567.99
101,155.1194,1.572678,1484,310,279,314,285,296,435.02
102,718.1058,1.394443,3922,751,835,849,781,706,318.13
103,320.0616,1.3813,2771,490,514,699,521,547,401.37
104,193.5289,1.285587,1951,397,368,468,355,363,470.33
105,326.0432,0.840728,2631,528,546,536,493,528,316.08
106,-47.5406,1.846904,197,53,41,40,33,30,569.43
107,86.7064,1.268593,1062,197,212,252,216,185,479.62
108,618.4583,1.709442,3831,774,777,854,679,747,316.59
109,396.8609,1.096228,2892,513,586,713,532,548,318.66
