episode,score,loss,ep_length,action_0,action_1,action_2,action_3,action_4,shark_dist_avg
1,264.8346,13.418495,2068,433,403,415,409,408,232.45
2,127.0901,4.840088,1167,251,231,224,237,224,174.06
3,142.0856,3.811766,3078,597,655,609,620,597,359.44
4,87.394,3.179226,1342,270,270,269,267,266,290.3
5,-88.83,2.59066,110,20,23,26,22,19,494.74
6,117.4937,2.727274,2255,464,442,459,440,450,288.93
7,-78.9302,2.940814,565,120,119,111,99,116,195.65
8,56.4691,3.033961,1589,344,309,312,310,314,198.94
9,92.0771,2.498519,762,164,148,148,136,166,327.79
10,-63.6874,2.541943,242,43,46,46,48,59,578.96
11,340.1525,2.946906,1895,370,389,378,397,361,312.61
12,-17.7774,2.459194,617,123,121,114,126,133,394.33
13,-70.1362,2.17101,141,29,26,29,29,28,737.74
14,9.8851,2.428695,1564,343,318,282,326,295,436.33
15,-7.5803,2.070363,1536,328,304,313,304,287,461.73
16,-80.012,1.964034,648,120,136,132,135,125,253.03
17,115.1188,2.103697,1870,402,355,376,348,389,361.32
18,256.9987,2.278786,1788,338,375,382,336,357,351.92
19,-90.3087,2.073651,664,121,127,145,151,120,109.09
20,169.9455,2.75113,2307,440,448,482,469,468,253.15
21,-34.0719,2.385349,1472,293,283,305,309,282,470.27
22,-31.5502,2.258012,382,77,79,71,75,80,508.14
23,11.0307,2.66691,634,134,126,115,123,136,484.11
24,255.3111,2.746011,1308,267,260,265,248,268,367.91
25,26.4042,2.493208,287,69,56,39,63,60,191.19
26,78.9728,2.307279,709,141,156,138,143,131,503.41
27,2.2376,2.117917,1195,260,240,251,226,218,297.71
28,-38.883,2.187459,767,157,150,139,165,156,239.06
29,235.2254,2.285262,1776,355,374,358,332,357,252.92
30,-52.5062,2.00941,752,147,154,130,163,158,267.06
31,123.7671,2.390699,896,191,174,164,192,175,438.57
32,-61.7577,1.859403,197,44,38,49,29,37,550.89
33,-6.5028,2.522507,343,69,70,74,65,65,383.03
34,49.8549,2.498995,1945,379,406,380,383,397,342.4
35,126.7751,2.324498,1123,233,203,221,221,245,252.84
36,189.1196,2.582909,2338,471,505,458,462,442,254.68
37,82.4257,2.475677,1424,301,254,280,287,302,183.43
38,112.434,2.278419,1469,297,283,301,281,307,322.74
39,193.3428,2.576934,1582,310,328,308,334,302,246.5
40,229.1399,2.306524,2581,514,532,522,522,491,295.52
41,346.0542,2.537636,3496,655,702,721,691,727,400.52
42,-46.2007,2.457083,999,206,219,212,187,175,326.86
43,-78.434,2.650485,238,50,48,47,45,48,509.82
44,-134.3972,2.554057,742,138,160,139,152,153,226.41
45,-91.7961,2.76671,1918,391,361,422,380,364,436.57
46,-19.0705,2.629755,2109,454,452,380,434,389,313.03
47,-236.915,2.541462,671,132,139,138,129,133,370.4
48,-15.8753,2.350499,522,96,112,115,104,95,322.42
49,266.9043,2.795971,2594,528,508,529,502,527,247.87
50,-44.2539,2.255155,381,67,80,81,67,86,425.61
51,38.6816,2.743573,1055,211,197,208,226,213,316.52
52,164.3399,3.055411,2756,605,524,565,543,519,385.48
53,-41.0768,1.901195,79,8,20,16,17,18,187.24
54,-65.6493,2.47656,398,65,76,91,68,98,360.81
55,-87.9157,2.185437,240,46,52,46,45,51,714.62
56,-35.9958,2.335396,810,156,169,162,159,164,253.21
57,233.1724,2.726328,1367,259,268,270,278,292,250.66
58,675.8894,2.849271,6476,1341,1319,1248,1258,1310,249.17
59,368.2512,2.9223,2416,488,504,487,442,495,255.37
60,55.7069,2.879876,1467,328,290,299,255,295,399.88
61,40.8653,2.826296,1937,371,422,420,368,356,308.5
62,99.4515,3.045225,1738,357,360,377,299,345,384.24
63,-35.9625,3.487895,690,142,123,158,124,143,220.18
64,343.2336,3.155542,2461,507,525,510,454,465,219.57
65,510.0117,2.891841,3328,659,681,623,708,657,262.66
66,-87.5109,2.802877,1562,317,299,330,299,317,298.3
67,269.9644,2.29656,1552,315,294,315,316,312,223.02
68,367.1448,2.974007,2421,473,502,483,497,466,260.8
69,172.211,3.085207,1475,286,284,284,326,295,276.08
70,-141.9836,2.674711,206,43,50,37,43,33,288.18
71,128.2204,3.263139,2159,441,466,446,405,401,629.31
72,230.4432,2.809422,2612,489,550,528,551,494,371.98
73,192.5157,2.978615,2154,442,411,447,434,420,210.7
74,133.7287,3.209786,1295,243,259,255,275,263,428.29
75,-299.2363,3.217652,4245,872,875,843,814,841,351.1
76,22.8653,3.056155,1002,205,208,179,223,187,434.23
77,-151.7951,3.106557,688,123,148,131,146,140,424.64
78,91.4758,3.37068,3168,617,609,652,632,658,388.88
79,193.1475,3.368685,1756,327,387,334,383,325,392.65
80,130.3563,3.206008,1417,282,268,345,238,284,416.02
81,135.9946,2.857736,1442,297,316,285,263,281,296.36
82,245.9202,3.142138,2537,504,484,564,485,500,325.58
83,175.1612,3.633318,1801,352,330,364,379,376,273.88
84,21.1331,3.094466,435,76,84,85,92,98,327.11
85,-135.8695,4.460025,400,84,80,94,70,72,352.72
86,75.0532,3.501199,1095,225,225,207,215,223,461.64
87,615.0353,3.149952,2797,566,531,585,607,508,282.85
88,187.3689,3.694274,2120,457,406,480,365,412,401.95
89,-58.5552,3.036199,342,69,73,58,80,62,177.76
90,-69.1769,3.27634,1126,230,234,218,240,204,316.83
91,-84.775,3.041019,2721,552,556,482,638,493,345.32
92,506.1526,2.950211,2812,547,550,659,521,535,299.43
93,252.0977,2.886032,1443,274,286,265,332,286,318.0
94,71.8561,3.505559,1070,235,220,211,206,198,350.86
95,48.3231,3.024729,1210,260,236,257,249,208,308.52
96,-91.2307,2.56719,244,38,51,37,66,52,93.62
97,159.5534,2.770011,2840,572,534,556,630,548,316.24
98,73.7925,3.379038,703,148,152,129,152,122,335.79
99,72.4571,3.044045,1064,217,237,172,246,192,351.15
100,296.1655,2.84998,2424,460,475,478,546,465,327.27
101,-28.2956,2.172325,101,18,17,17,30,19,313.15
102,382.3277,3.21122,3192,656,624,694,612,606,457.8
103,81.8236,2.530921,646,125,118,115,159,129,409.02
104,243.0746,3.198276,1935,383,393,377,417,365,346.85
105,269.9226,2.853062,2641,510,504,645,482,500,249.72
106,379.5864,3.056065,3060,564,632,571,703,590,355.64
107,237.4808,2.940702,2078,427,434,415,420,382,307.53
108,47.5328,2.732646,1313,236,262,323,226,266,386.96
109,216.3495,2.908417,2857,550,577,694,497,539,340.75
110,129.9738,2.90298,1980,368,404,427,398,383,367.01
111,134.0106,2.800928,2212,410,451,421,506,424,391.85
112,-5.2086,3.860385,166,32,27,23,48,36,629.58
113,445.016,2.703567,5855,1163,1138,1341,1152,1061,289.67
114,483.1041,3.024383,4625,900,888,1131,866,840,310.07
115,-67.4569,2.298389,932,197,185,188,186,176,193.3
