episode,score,loss,ep_length,action_0,action_1,action_2,action_3,action_4,shark_dist_avg
1,-18.9256,61.51906,256,67,47,49,53,40,112.84
2,89.9617,9.465848,547,133,104,110,87,113,480.78
3,135.3855,6.095816,1093,233,195,196,224,245,524.39
4,-25.6281,4.434113,580,116,134,111,106,113,684.41
5,10.3892,3.37702,975,173,190,210,209,193,308.9
6,29.0147,4.732782,367,57,70,92,70,78,321.9
7,69.1614,4.061546,1270,239,261,251,275,244,276.91
8,-86.4673,3.950187,603,138,112,110,120,123,149.26
9,-14.9768,3.300917,178,30,35,37,39,37,471.75
10,-72.4147,2.693984,52,11,7,12,10,12,482.31
11,43.3069,3.835034,275,62,50,56,51,56,711.05
12,-65.6067,4.918893,46,15,7,9,6,9,535.44
13,-36.1884,3.444836,121,29,23,21,23,25,561.17
14,-5.6864,2.697399,38,6,6,4,17,5,200.4
15,55.4188,3.012774,354,68,70,74,71,71,499.41
16,7.3973,2.635983,374,63,79,74,82,76,490.24
17,-140.6563,2.683094,246,58,47,50,48,43,360.56
18,221.6814,2.634115,943,182,186,175,198,202,500.69
19,-76.1782,2.150433,99,20,10,23,22,24,409.56
20,117.9186,2.3689,625,139,111,128,128,119,571.77
21,94.0671,2.063401,1014,180,216,224,188,206,411.72
22,-192.3386,2.370502,440,80,87,97,80,96,202.8
23,626.1992,2.114416,3697,727,728,769,742,731,281.11
24,-24.7883,1.989838,553,127,113,103,109,101,192.95
25,50.696,1.819149,381,77,91,77,59,77,284.51
26,67.9503,1.856994,394,83,76,70,85,80,344.57
27,-10.0,1.860957,1,0,0,1,0,0,38.29
28,73.8522,2.249014,824,172,154,149,185,164,527.34
29,-11.497,1.430672,207,46,47,35,37,42,592.91
30,-56.4814,1.677924,90,16,19,20,22,13,338.09
31,64.6897,1.518744,475,79,105,84,96,111,454.79
32,-85.9661,1.970298,109,24,19,24,25,17,280.87
33,159.1206,1.852604,1691,343,382,289,343,334,238.1
34,-41.2748,1.824095,571,121,103,120,114,113,453.45
35,34.5508,1.730668,849,188,171,148,171,171,536.94
36,91.2354,1.804504,828,151,193,180,157,147,189.99
37,388.0544,1.82077,2438,481,538,474,486,459,340.17
38,-10.7341,1.457832,2,0,0,0,0,2,318.8
39,-154.8894,1.49265,780,157,143,154,177,149,146.95
40,-49.8042,1.286433,316,57,74,65,57,63,123.28
41,-10.0,1.543821,1,0,0,1,0,0,43.19
42,-49.8831,1.566206,555,116,112,104,106,117,572.66
43,17.2096,1.723993,178,35,34,28,37,44,592.03
44,65.3198,1.499062,264,53,45,54,58,54,724.64
45,-35.1367,2.026971,43,4,10,7,9,13,466.19
46,-19.6123,1.702962,1225,251,239,241,234,260,325.69
47,84.6286,1.663162,614,144,128,108,114,120,251.03
48,-13.0933,1.908645,126,25,16,29,27,29,513.32
49,179.185,3.467523,983,206,203,177,206,191,401.89
50,35.6411,1.716498,715,157,139,128,158,133,244.04
51,99.635,1.702339,613,130,108,123,128,124,175.89
52,-59.2051,1.625667,112,19,22,17,26,28,659.83
53,-68.012,2.018212,212,39,54,37,37,45,527.14
54,130.2658,2.01439,1805,360,369,394,351,331,296.8
55,-35.644,1.585335,339,76,72,61,62,68,386.02
56,772.3572,2.024341,4644,924,949,955,895,921,298.27
57,8.9895,2.29106,1008,201,206,222,203,176,325.65
58,-45.8238,1.901835,128,23,24,23,28,30,90.92
59,195.8578,1.592729,2527,511,514,507,515,480,280.67
60,25.5275,2.017872,231,40,47,39,54,51,436.84
61,-14.971,1.774156,735,174,178,132,115,136,304.57
62,-6.261,1.667487,155,35,29,35,27,29,159.33
63,184.2134,2.11012,1603,309,303,325,339,327,316.27
64,-17.2439,1.9496,407,80,78,79,85,85,620.79
65,210.7604,1.829179,1589,307,321,305,347,309,344.01
66,-176.0988,1.930998,385,77,60,93,79,76,162.64
67,235.535,2.011989,1003,221,196,172,204,210,285.96
68,216.2231,1.821007,2392,511,493,463,491,434,313.18
69,83.7036,1.811432,1908,436,373,361,366,372,414.15
70,163.2587,2.927154,1254,239,260,236,247,272,208.72
71,42.8041,2.02203,1128,224,232,202,259,211,262.42
72,228.1569,1.918366,1811,385,378,384,313,351,471.96
73,-36.7666,1.496112,72,7,9,18,12,26,89.12
74,-9.9532,2.226023,575,106,123,123,122,101,213.24
75,194.6332,1.848572,2090,441,423,384,424,418,176.14
76,-71.5056,1.07327,80,21,13,22,11,13,541.02
77,-50.7389,1.716131,684,140,138,156,115,135,307.17
78,168.6596,1.84967,2016,406,407,399,424,380,388.56
79,-50.4334,1.72541,55,4,13,14,11,13,368.64
80,57.6202,1.812231,955,183,199,172,230,171,249.43
81,197.9758,1.820318,1452,340,284,315,258,255,145.59
82,30.0437,1.812527,452,86,95,72,103,96,692.92
83,280.9744,1.800748,988,195,199,168,205,221,469.89
84,115.6471,1.88223,2141,443,378,410,517,393,143.85
85,406.7915,1.61066,2827,543,591,573,575,545,236.41
86,138.1973,1.598296,1252,247,256,232,257,260,395.99
87,669.3705,1.190058,3923,850,745,799,809,720,220.97
88,65.3543,2.058757,405,77,56,97,75,100,512.72
89,272.8494,1.974012,1923,407,429,352,378,357,196.06
90,-29.0673,1.97402,16,3,3,7,0,3,557.6
91,394.6612,1.822841,3106,608,631,601,657,609,378.1
92,-30.5987,1.868392,87,14,19,22,14,18,78.37
93,203.7133,1.85414,1459,270,300,318,277,294,349.84
94,257.0297,1.609238,1960,368,401,362,461,368,231.74
95,73.2019,2.469187,678,145,137,152,111,133,214.11
96,182.3736,1.923406,1479,280,335,269,338,257,251.75
97,-145.6161,1.904493,343,72,52,85,73,61,505.02
98,46.692,1.508035,254,45,52,62,49,46,290.13
99,201.2747,1.884913,1584,336,296,269,398,285,249.08
100,114.8191,1.758449,1040,210,220,252,184,174,403.49
101,-12.3803,1.799966,128,33,23,17,26,29,327.95
102,-61.4023,1.780104,202,44,35,57,30,36,305.24
103,173.8852,2.003605,1063,221,201,208,215,218,333.53
104,327.8072,1.713684,1423,280,284,284,311,264,280.16
105,440.0204,1.895854,2679,537,494,607,532,509,226.57
106,199.2273,2.172776,1539,285,306,306,329,313,250.68
107,-69.8742,2.066469,59,15,15,9,11,9,434.48
108,108.1681,1.966269,1281,254,258,244,270,255,259.43
109,124.4018,2.409522,1242,254,244,250,267,227,220.31
110,30.0748,2.104813,1429,283,267,250,371,258,208.08
111,257.6443,1.872516,2160,450,437,530,366,377,394.66
112,443.9828,2.439663,2190,429,421,489,430,421,290.62
113,-25.9769,1.936193,14,3,2,2,2,5,441.44
114,438.0519,1.829224,1794,333,353,449,318,341,345.0
115,962.2162,1.948463,7594,1437,1501,1704,1569,1383,242.02
116,-3.1655,2.05339,495,80,102,110,100,103,146.94
117,624.633,2.111315,5049,960,1016,1069,1060,944,267.69
118,-105.3516,1.931289,133,44,28,14,25,22,843.83
119,74.6674,1.707463,1382,281,266,278,272,285,378.96
120,177.7358,1.736472,1605,334,263,311,353,344,231.72
121,-15.5835,1.851815,319,71,75,73,49,51,332.89
122,139.8339,1.787537,1068,180,222,189,260,217,508.34
123,3.4804,2.170958,304,60,54,76,57,57,298.25
124,-3.5745,1.857406,192,47,38,32,32,43,635.3
125,-50.5531,1.655046,675,138,124,170,117,126,214.22
126,215.0128,1.975043,2551,469,464,474,703,441,384.9
127,-17.3881,1.774853,7,4,0,3,0,0,431.1
128,157.7133,1.618867,823,165,149,196,145,168,373.55
129,35.3774,2.146177,1306,213,267,253,362,211,379.75
130,44.2854,1.800989,1403,266,270,286,302,279,271.03
131,15.019,1.518517,1472,277,278,377,269,271,195.71
132,-8.9791,2.164464,378,71,77,74,63,93,244.74
133,191.6928,1.487328,1423,270,277,362,277,237,321.7
134,347.9782,1.602032,2100,390,391,479,439,401,325.25
135,74.7578,1.998493,569,96,119,135,110,109,476.72
136,562.0023,1.889436,2925,525,564,692,596,548,243.47
137,-72.208,1.783285,122,22,24,18,40,18,496.09
138,-12.2403,1.521357,443,80,84,82,113,84,228.32
139,-56.8046,1.74087,158,40,26,32,28,32,515.88
140,455.8783,2.713485,2454,428,491,503,548,484,211.84
