episode,score,loss,ep_length,action_0,action_1,action_2,action_3,action_4,shark_dist_avg
1,-12.2436,96.454127,3,1,0,0,1,1,903.37
2,-5.1035,7.381989,1090,191,213,214,235,237,317.84
3,-18.8903,3.000878,11,4,1,3,1,2,703.5
4,55.7884,6.752821,467,82,100,96,88,101,775.89
5,56.0421,4.725169,943,185,190,190,181,197,310.4
6,-43.6126,4.478628,335,73,66,68,65,63,145.62
7,96.0913,3.438423,660,134,130,127,125,144,280.67
8,111.9981,5.024737,957,211,204,169,172,201,272.89
9,-86.4966,2.751354,53,12,7,16,9,9,146.22
10,40.5819,2.201764,685,142,156,110,145,132,330.68
11,403.6561,2.766177,2132,454,415,409,425,429,265.1
12,135.7845,3.325275,1351,270,272,276,264,269,455.17
13,-35.2981,2.862364,537,106,112,111,108,100,220.49
14,-39.1305,2.700827,141,26,21,29,33,32,90.9
15,-58.5515,2.768532,345,65,60,83,52,85,162.08
16,-20.49,4.003092,514,87,100,106,112,109,169.69
17,-38.8623,2.980739,403,86,71,83,78,85,192.75
18,44.3506,3.046387,676,135,148,136,123,134,182.91
19,26.2813,2.235301,880,182,200,180,160,158,256.49
20,215.3001,3.3867,1504,321,284,282,315,302,189.48
21,4.0422,2.563234,1955,340,422,365,418,410,225.08
22,-14.3002,2.218586,153,33,29,35,28,28,321.87
23,33.0945,2.017027,288,62,57,53,52,64,480.06
24,161.8305,2.691137,1037,201,203,202,196,235,429.28
25,-47.4286,2.194983,340,68,73,65,61,73,164.66
26,-66.8995,2.867203,357,76,67,75,57,82,553.89
27,-43.7737,1.955268,510,97,106,96,112,99,380.74
28,-1.8195,3.476363,197,34,40,39,41,43,279.58
29,26.3599,2.43187,141,27,24,19,31,40,436.42
30,32.0715,2.280053,280,44,42,73,63,58,310.3
31,19.4516,1.926969,234,48,39,53,39,55,270.43
32,22.8394,1.803997,250,49,53,51,55,42,672.25
33,330.4365,1.555799,1832,380,361,378,383,330,328.86
34,-10.0,2.424768,1,0,1,0,0,0,46.52
35,215.5468,1.865871,1615,326,290,348,334,317,231.85
36,-8.0907,1.774378,1439,286,273,316,299,265,253.01
37,54.3403,1.247603,785,158,171,149,143,164,423.66
38,276.3514,1.946336,2218,484,435,421,446,432,241.32
39,76.4752,1.722688,530,105,108,102,103,112,347.25
40,-29.5241,0.838905,135,33,28,27,25,22,374.51
41,240.2573,2.010961,1578,297,328,305,333,315,312.32
