episode,score,loss,ep_length,action_0,action_1,action_2,action_3,action_4,shark_dist_avg
1,-0.077,614.14064,154,33,30,26,25,40,783.13
2,64.1008,9.906175,415,85,104,69,73,84,517.95
3,11.5861,2.225031,216,34,33,52,53,44,588.7
4,-85.9531,4.607686,145,32,23,26,35,29,216.79
5,61.1588,4.917169,864,174,171,171,158,190,426.67
6,-60.7827,3.002147,480,91,86,104,102,97,289.81
7,38.4304,3.948467,710,119,138,164,151,138,186.53
8,-51.0414,3.385983,906,186,194,181,177,168,196.42
9,96.3919,3.30861,1459,293,289,289,311,277,480.4
10,-9.3092,2.305787,207,41,49,41,37,39,818.27
11,-43.2252,2.321502,185,39,30,34,44,38,126.8
12,90.3289,2.844965,1803,343,366,365,347,382,405.58
13,283.1315,2.902368,1975,402,361,373,408,431,399.86
14,380.4405,2.938063,2383,455,505,507,483,433,378.42
15,69.0146,3.129721,516,110,98,105,104,99,660.97
16,41.076,2.562281,677,106,147,156,140,128,212.76
17,57.0968,2.394097,330,57,64,72,58,79,631.9
18,21.0991,2.74743,499,96,107,98,99,99,573.3
19,217.2055,2.246269,1508,309,305,294,288,312,478.98
20,130.4755,2.049044,2420,456,499,519,467,479,431.14
21,24.037,1.950723,338,79,71,59,65,64,545.5
22,-29.0039,1.847126,30,4,4,8,5,9,888.19
23,162.9071,1.944332,1602,315,332,332,319,304,545.83
24,39.6524,1.756181,742,150,151,139,140,162,201.92
25,135.209,1.989421,1058,209,177,235,231,206,411.14
26,49.0315,1.764191,1056,202,204,212,222,216,272.45
27,68.8682,2.004502,364,70,77,64,76,77,600.76
28,5.3478,1.837954,1238,280,258,231,236,233,376.0
29,-49.1478,2.180097,852,168,173,178,160,173,257.25
30,93.5197,2.024789,1053,225,190,235,206,197,444.53
31,-25.6349,1.974966,32,8,8,3,6,7,344.51
32,203.6037,1.993284,1959,409,400,377,399,374,400.07
33,300.1236,1.910936,2809,581,560,568,548,552,321.96
34,-22.4847,2.320101,361,84,87,64,58,68,493.52
35,-76.0079,1.83633,158,29,30,30,33,36,663.54
36,75.7412,2.109116,549,104,107,112,102,124,696.14
37,343.9383,1.866461,2150,420,448,464,400,418,298.61
