episode,score,loss,ep_length,action_0,action_1,action_2,action_3,action_4,shark_dist_avg
111,-10.0,1.376777,1,1,0,0,0,0,43.05
112,101.0348,0.446951,525,104,98,133,97,93,663.56
113,2.1351,0.794507,1868,305,328,525,349,361,260.81
114,305.8932,0.697862,1718,304,354,384,309,367,363.53
115,64.6249,1.322262,465,115,89,81,93,87,495.4
116,-38.3825,1.146361,2180,415,403,626,360,376,280.1
117,-61.144,1.487858,125,21,21,36,24,23,612.84
118,169.6278,0.52853,966,205,200,165,162,234,316.59
119,166.8824,2.216545,1892,361,368,448,376,339,327.53
120,135.6072,0.645248,913,198,170,144,192,209,343.61
121,-21.0084,1.256762,225,46,40,42,34,63,255.81
122,3.2354,1.189853,422,95,79,69,89,90,532.05
123,-18.9204,1.191431,7,2,1,1,1,2,146.47
124,265.6817,1.269167,1172,236,222,322,177,215,313.03
125,113.444,0.645584,1231,224,262,296,224,225,584.12
126,22.5475,1.340497,529,111,105,105,105,103,746.33
127,93.0527,1.18964,1108,216,224,275,227,166,368.77
128,100.3385,0.789946,420,87,75,103,65,90,641.95
129,95.0608,0.975086,981,183,168,257,182,191,339.48
130,78.6923,0.735043,895,177,173,193,165,187,420.1
131,-360.4996,1.174687,366,70,62,102,66,66,723.03
132,371.1372,1.314313,1543,310,291,323,281,338,398.45
133,-149.6202,1.019147,1237,251,218,310,252,206,445.24
134,58.2787,0.781328,812,193,168,148,152,151,404.4
135,187.638,1.726931,1219,269,233,290,192,235,517.63
136,228.3595,0.905948,1486,290,324,267,319,286,291.58
137,-117.8767,1.047603,140,34,24,20,34,28,626.88
138,-111.5576,1.18069,279,55,53,78,44,49,673.72
139,-107.0045,1.114017,653,126,127,169,109,122,546.76
140,378.4811,0.990817,2958,538,547,886,486,501,293.47
141,159.7023,0.66744,1198,204,234,332,226,202,381.97
142,227.4613,0.852305,2022,363,387,558,367,347,515.85
143,119.7316,1.344473,1009,206,203,243,179,178,291.6
144,-15.1253,1.125764,410,64,76,136,65,69,250.25
145,2.0235,0.93338,998,198,201,278,162,159,560.22
146,241.9712,1.040655,867,159,155,216,155,182,336.0
147,94.0429,1.592863,884,189,150,247,148,150,693.43
148,-274.3113,1.058346,888,164,187,199,174,164,425.2
149,104.6735,1.106388,650,149,97,185,97,122,606.16
150,3.7874,0.999428,563,108,117,135,93,110,435.42
151,112.7894,0.74142,689,145,132,130,123,159,444.06
152,75.2988,1.271807,3026,570,572,851,494,539,315.86
153,-60.0758,0.945011,87,21,13,15,22,16,94.36
154,-40.5457,0.578471,164,38,31,33,32,30,106.32
155,13.3383,0.792761,1339,258,246,380,242,213,609.63
156,152.4966,1.628305,936,152,170,288,176,150,390.38
157,-58.6069,1.271412,188,35,34,58,25,36,648.59
158,-155.6042,1.1734,794,169,148,185,152,140,535.73
