episode,score,loss,ep_length,action_0,action_1,action_2,action_3,action_4,shark_dist_avg
1,-39.0089,115.926493,364,83,74,66,66,75,196.05
2,74.3045,6.894095,569,103,116,112,122,116,467.76
3,-40.8338,3.160837,27,5,6,6,5,5,478.25
4,214.3734,4.615177,1500,284,305,319,290,302,355.92
5,166.6557,2.683789,797,158,160,157,173,149,502.48
6,79.202,2.480233,1202,262,239,232,234,235,212.37
7,69.0569,1.912072,620,137,112,126,130,115,488.87
8,-56.9244,1.665266,202,34,45,51,35,37,582.4
9,-82.1854,1.549876,918,166,197,171,199,185,303.27
10,22.2817,1.715418,288,53,56,61,54,64,589.19
11,-36.0524,1.205012,198,47,42,38,39,32,113.6
12,59.674,1.709917,902,174,212,167,163,186,286.38
13,-50.9705,1.116856,303,67,57,56,60,63,473.4
14,189.2166,1.614695,1403,285,260,304,273,281,524.0
15,32.3212,1.401919,534,91,118,103,117,105,196.64
16,77.3365,1.213171,705,135,132,151,153,134,508.1
17,87.3345,1.455313,1099,222,209,216,234,218,347.52
18,38.1915,1.992234,336,66,67,56,65,82,703.84
19,339.0961,1.203386,1456,275,289,300,304,288,339.91
20,129.9474,1.413182,1750,317,370,322,340,401,245.53
21,168.1636,1.462982,707,131,137,148,144,147,429.01
22,-55.6362,0.921375,59,11,10,16,6,16,629.41
23,-12.8116,0.836454,3,1,1,1,0,0,829.19
24,-39.1461,1.144817,156,38,28,30,25,35,515.41
25,110.5385,1.195539,1500,287,316,307,293,297,555.7
26,59.8373,1.539831,575,112,115,110,110,128,214.84
27,137.3226,1.403576,1115,212,242,213,234,214,573.63
28,-16.9867,1.839738,1283,255,262,274,265,227,387.77
29,26.0334,1.488185,207,37,39,46,46,39,594.83
30,-45.9488,1.116362,179,33,29,42,35,40,425.88
31,-32.9195,1.2028,273,55,59,58,53,48,139.94
32,222.5261,1.197997,1030,211,202,208,184,225,490.08
33,-0.8151,0.644658,595,117,125,121,114,118,412.7
34,-11.1945,1.310381,48,12,10,9,9,8,54.14
35,210.8166,1.216714,1856,373,361,392,365,365,361.85
36,87.8293,1.659922,1045,206,217,203,219,200,594.25
37,97.4924,3.357265,677,144,135,116,153,129,434.37
38,-9.3086,1.256979,372,67,74,74,80,77,478.62
39,17.57,1.964398,1373,272,264,322,275,240,493.9
40,99.522,1.376745,962,191,200,217,162,192,426.52
41,209.0852,0.841223,1685,359,315,324,313,374,446.9
42,-16.912,1.119616,124,36,18,29,24,17,612.39
43,129.2869,1.145692,1917,403,427,353,384,350,346.02
44,175.318,1.055074,1872,383,392,379,359,359,358.48
45,-27.9837,1.279433,20,1,3,5,6,5,301.71
46,483.0493,0.798637,2359,467,451,501,454,486,301.95
47,-53.7117,1.307512,293,44,64,68,57,60,280.64
48,189.3546,1.56721,1020,201,211,216,195,197,495.17
49,169.9091,1.226537,1331,253,252,314,264,248,293.77
50,270.1183,1.300284,2012,409,413,423,388,379,382.61
51,170.238,1.061497,963,171,184,211,194,203,593.27
52,27.1309,0.92356,368,68,84,64,64,88,589.32
53,123.3428,0.905556,664,125,131,123,148,137,247.81
54,169.0311,0.742483,1552,304,316,348,289,295,393.92
55,-149.6064,1.002765,397,91,78,65,77,86,180.15
56,144.5029,1.014852,1174,224,244,260,228,218,509.5
57,319.0423,1.090896,1367,270,289,297,239,272,415.2
58,568.2019,1.986506,3505,728,662,751,666,698,317.82
59,-53.7439,1.085023,87,14,16,24,17,16,843.07
60,-34.6822,2.303671,382,77,79,67,89,70,155.92
61,-32.4395,0.5219,202,39,43,34,40,46,213.2
62,-43.4834,0.698797,45,13,6,9,6,11,633.1
63,-101.3518,1.587089,203,30,42,46,37,48,76.68
64,59.6029,0.826314,247,50,44,43,51,59,178.43
65,-44.4121,0.803507,30,9,4,7,3,7,113.12
66,30.2563,1.017437,197,32,45,50,38,32,619.25
67,28.9437,1.038656,533,101,100,110,105,117,234.87
68,261.9233,1.26097,1667,317,361,375,303,311,425.72
69,46.0255,0.696847,1329,262,281,304,234,248,164.19
70,-47.697,1.23742,57,8,13,14,6,16,419.17
71,52.9044,1.124864,1292,258,288,265,241,240,376.0
72,86.2407,0.981272,669,105,130,178,121,135,589.38
73,-10.0,1.186727,1,0,0,0,0,1,47.43
74,432.4381,0.998442,2898,611,556,613,552,566,363.24
75,107.1555,1.457028,2080,403,424,467,401,385,313.57
76,85.9412,1.40144,1240,240,250,256,245,249,201.79
77,-3.0696,1.265226,300,54,51,95,54,46,507.26
78,172.5806,0.802057,842,194,178,152,161,157,382.48
79,-45.6867,1.077922,270,55,50,62,64,39,204.05
80,39.352,1.204716,448,82,106,105,77,78,499.89
81,208.9622,1.02157,908,165,170,236,161,176,336.3
82,78.8519,1.132741,1839,325,346,465,326,377,375.75
83,351.182,1.282984,1586,316,303,393,305,269,295.8
84,-77.4578,0.866697,1387,249,288,345,260,245,541.41
85,237.1134,1.011542,2620,479,546,612,521,462,419.58
86,329.9833,0.962416,1904,380,346,456,344,378,289.78
87,89.0861,1.092146,1145,218,230,260,230,207,212.61
88,56.5826,1.258033,597,124,101,139,112,121,140.36
89,45.4586,0.949809,747,147,136,196,129,139,498.56
90,142.7392,1.428722,2088,410,390,544,380,364,429.24
91,-10.0,0.963928,1,0,0,0,0,1,28.28
92,-6.0527,1.020651,789,134,134,198,170,153,294.14
93,5.3506,1.054297,211,62,36,30,43,40,129.2
94,-131.2569,0.540062,286,59,58,64,47,58,621.31
95,-25.2136,1.120498,96,18,24,24,15,15,384.29
96,-21.1896,1.198372,12,4,0,4,1,3,773.71
97,-23.0815,1.23046,13,2,2,3,2,4,265.35
98,162.7306,1.507271,2975,550,612,706,544,563,331.97
99,140.1712,1.307781,1420,259,275,374,251,261,507.42
100,-65.3466,1.334092,645,142,132,146,118,107,607.99
101,88.7926,1.165392,688,133,127,152,130,146,411.24
102,345.358,1.680056,2180,456,389,494,402,439,404.72
103,194.1673,1.185014,881,186,170,192,146,187,464.21
104,274.8406,1.231065,2158,409,388,626,367,368,340.26
105,5.2089,0.487489,331,57,59,81,71,63,462.44
106,497.3138,1.628106,3831,732,699,983,705,712,248.71
107,477.7009,1.850623,3223,612,571,870,567,603,391.02
108,-17.2595,6.104652,56,17,13,21,2,3,700.92
109,35.1973,1.168859,345,77,65,53,75,75,245.75
110,134.6594,1.419076,690,108,127,195,129,131,401.17
111,-42.4279,0.558852,93,21,19,23,11,19,98.8
112,462.287,2.177707,2840,506,582,720,513,519,406.07
113,435.2366,1.79294,3196,614,645,655,625,657,340.76
114,-35.3611,0.813279,53,11,11,11,8,12,668.68
115,31.4264,1.598985,294,55,54,83,44,58,400.46
